Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,7,0.61,0.01,0.24813388582871823
100% Corpus,7,0.61,0.31,0.3281369405264991
100% Corpus,7,0.61,0.61,0.3276856929449977
100% Corpus,7,0.61,0.9099999999999999,0.35679632376833686
100% Corpus,7,0.61,symmetric,0.3007031805544835
100% Corpus,7,0.9099999999999999,0.01,0.2971779183533349
100% Corpus,7,0.9099999999999999,0.31,0.33730302914888083
100% Corpus,7,0.9099999999999999,0.61,0.3291343855168089
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.3475159197612309
100% Corpus,7,0.9099999999999999,symmetric,0.32028692615199256
100% Corpus,7,symmetric,0.01,0.29706744600678625
100% Corpus,7,symmetric,0.31,0.32634977379482766
100% Corpus,7,symmetric,0.61,0.42368286160526925
100% Corpus,7,symmetric,0.9099999999999999,0.4101697065190482
100% Corpus,7,symmetric,symmetric,0.30070234105105736
100% Corpus,7,asymmetric,0.01,0.27562919039175043
100% Corpus,7,asymmetric,0.31,0.3306967482558312
100% Corpus,7,asymmetric,0.61,0.4516459075555627
100% Corpus,7,asymmetric,0.9099999999999999,0.4146197974965125
100% Corpus,7,asymmetric,symmetric,0.27810666309505505
100% Corpus,8,0.01,0.01,0.25717229255391116
100% Corpus,8,0.01,0.31,0.36280278744929073
100% Corpus,8,0.01,0.61,0.4599520783045081
100% Corpus,8,0.01,0.9099999999999999,0.382240151097805
100% Corpus,8,0.01,symmetric,0.3070668837941788
100% Corpus,8,0.31,0.01,0.2815110856405463
100% Corpus,8,0.31,0.31,0.31196001888354374
100% Corpus,8,0.31,0.61,0.39785093118390197
100% Corpus,8,0.31,0.9099999999999999,0.4804253873210549
100% Corpus,8,0.31,symmetric,0.27820113713452577
100% Corpus,8,0.61,0.01,0.26805703124442043
100% Corpus,8,0.61,0.31,0.3166427523395138
100% Corpus,8,0.61,0.61,0.3392358915554703
100% Corpus,8,0.61,0.9099999999999999,0.355226722651638
100% Corpus,8,0.61,symmetric,0.28526749278172053
100% Corpus,8,0.9099999999999999,0.01,0.31066394364616423
100% Corpus,8,0.9099999999999999,0.31,0.34616283495440514
100% Corpus,8,0.9099999999999999,0.61,0.33108806481383496
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.3954709429147493
